Gene_acc,Gene_id,C1,C2,T1,T2,Desc,pg_index
0,LdBPK_010010,7.483758413788249,8.102159183243685,7.553166699496046,8.192846115188841,"Protein of unknown function (DUF2946), putative",120
1,LdBPK_010020,7.301290494211371,8.016113666358908,7.261928672990642,7.945503051580146,"Endonuclease/Exonuclease/phosphatase family, putative",121
2,LdBPK_010030,7.3278287400941995,7.903822241264234,7.358524934046989,8.143608034837596,"Kinesin-13 1, putative",122
3,LdBPK_310310,7.3278287400941995,7.903822241264234,7.358524934046989,8.143608034837596,"Kinesin-13 4, putative",122
4,LdBPK_010040,7.682695495898711,8.277127671229863,7.594094077580118,8.505868683541955,"hypothetical protein, unknown function",123
5,LdBPK_010050,6.543757723163865,9.511134392728867,6.628348053351905,7.2659022043017565,"carboxylase, putative",124
6,LdBPK_010060,7.408460449500864,7.288361027472952,5.0,7.344961788789682,"hypothetical protein, conserved",125
7,LdBPK_010070,8.319938439980309,8.557843920244874,8.23545269126322,8.434696618924665,"BSD domain containing protein, putative",126
8,LdBPK_010080,5.0,7.036987997806906,5.0,6.833191750754783,"hypothetical protein, conserved",127
9,LdBPK_010110,8.967585413784672,9.381999021683066,8.83988638127509,9.508179448873523,glutaredoxin-like protein,128
10,LdBPK_010120,7.422753941301348,8.333003684755699,7.170789590446391,7.35430056234536,"hypothetical protein, conserved",129
11,LdBPK_010130,7.924387846112916,8.120606831056772,7.873686719904562,8.207607441911914,"hypothetical protein, conserved",130
12,LdBPK_010140,7.5922878159521305,7.36332987888716,7.455164748629626,7.599348058502406,"hypothetical protein, conserved",131
13,LdBPK_010160,8.980303408607034,9.03981055414835,8.751055739106684,9.22768107275287,"LSM domain containing protein, putative",132
14,LdBPK_010170,5.0,6.479027958760547,5.0,6.627201940953156,"hypothetical protein, conserved",133
15,LdBPK_010190,8.21112054125805,8.573475014712958,7.616612029993924,8.564417486747109,"hypothetical protein, conserved",134
16,LdBPK_010200,7.079651477073845,7.505109261303588,7.315340476627288,7.8691671576444735,"Low molecular weight phosphotyrosine protein phosphatase, putative",135
17,LdBPK_010210,7.669623661221743,8.543335330190907,7.999126189617454,7.751840859258727,"CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative",136
18,LdBPK_010220,8.746252661685883,8.973552699903863,8.398929072985435,8.98733103180897,"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative",137
19,LdBPK_010240,5.0,6.457564003967399,5.0,6.468598380496247,"DNA excision/repair protein SNF2, putative",138
20,LdBPK_010260,8.810279575219171,8.898379582597423,8.559032371092476,8.7464473654299,"Calmodulin-binding, putative",140
21,LdBPK_010270,9.349530063796264,9.355336561512381,9.227861005955013,9.366273496850445,"thioredoxin, putative",141
22,LdBPK_010290,7.663163612981193,7.755081734954101,5.0,7.864273696804379,"hypothetical protein, conserved",142
23,LdBPK_010300,9.300247561194086,9.515741416669366,9.367188135385627,9.214976234722066,"4F5 protein family, putative",143
